period_start,n_tickers,option_pnl,mm_contrib,total_pnl,cumulative_pct,avg_premium_pct,tickers
2022-05-16,30,-0.4540,0.1529,-0.3011,12.8906,0.6318,AAPL|MSFT|AMZN|UNH|GOOGL|TSLA|META|PG|V|HD|ACN|WMT|MA|NVDA|ADBE|JPM|XOM|CRM|JNJ|TMO|BAC|ORCL|CVX|LLY|ABBV|KO|COST|PEP|ABT|DIS
2022-06-13,30,-0.2326,0.1532,-0.0794,12.8112,0.4208,AAPL|MSFT|AMZN|UNH|GOOGL|TSLA|META|V|PG|HD|ACN|MA|XOM|NVDA|CRM|JPM|JNJ|WMT|ADBE|TMO|CVX|LLY|BAC|ORCL|KO|ABBV|ABT|COST|PEP|NKE
2022-07-11,30,1.7366,0.1496,1.8863,14.6974,2.7368,AAPL|MSFT|AMZN|UNH|GOOGL|TSLA|META|V|PG|HD|ACN|MA|CRM|NVDA|JNJ|WMT|JPM|ADBE|XOM|LLY|TMO|ORCL|ABBV|COST|BAC|KO|PEP|ABT|CVX|NKE
2022-08-08,30,-1.9990,0.1500,-1.8489,12.8485,2.4855,AAPL|MSFT|AMZN|UNH|GOOGL|TSLA|META|V|PG|ACN|HD|MA|NVDA|CRM|ADBE|WMT|JPM|XOM|JNJ|TMO|ORCL|COST|LLY|BAC|DIS|PEP|KO|ABT|ABBV|CVX
2022-09-05,30,0.0000,0.1538,0.1538,13.0023,0.0000,AAPL|MSFT|AMZN|UNH|GOOGL|TSLA|META|V|PG|HD|ACN|MA|XOM|WMT|JPM|CRM|ADBE|JNJ|NVDA|ORCL|TMO|LLY|BAC|COST|DIS|CVX|PEP|KO|ABBV|ABT
2022-10-03,30,0.3922,0.1533,0.5455,13.5478,0.3816,AAPL|MSFT|AMZN|UNH|GOOGL|TSLA|META|V|PG|HD|ACN|WMT|XOM|MA|JPM|JNJ|CRM|LLY|TMO|NVDA|BAC|ORCL|COST|ABBV|PEP|CVX|ADBE|KO|DIS|ABT
2022-10-31,30,0.9425,0.1501,1.0926,14.6404,2.4186,AAPL|MSFT|AMZN|UNH|GOOGL|TSLA|V|PG|XOM|HD|ACN|MA|WMT|JPM|LLY|CRM|JNJ|ORCL|META|BAC|NVDA|CVX|TMO|PEP|ADBE|ABBV|COST|DIS|KO|MRK
2022-11-28,30,-1.0448,0.1508,-0.8940,13.7463,1.9937,AAPL|MSFT|AMZN|UNH|GOOGL|TSLA|V|PG|HD|XOM|WMT|ACN|MA|JPM|META|NVDA|LLY|JNJ|ORCL|CRM|BAC|CVX|TMO|ABBV|COST|ADBE|PEP|KO|MRK|ABT
2022-12-26,30,-0.0233,0.1537,0.1304,13.8768,0.0823,AAPL|MSFT|AMZN|UNH|GOOGL|V|PG|HD|XOM|TSLA|MA|META|WMT|JPM|ACN|LLY|NVDA|JNJ|ORCL|ABBV|CVX|TMO|ADBE|PEP|BAC|KO|CRM|MRK|ABT|NKE
2023-01-23,30,1.1552,0.3754,1.5306,15.4074,2.3940,AAPL|MSFT|AMZN|UNH|GOOGL|V|META|TSLA|PG|MA|HD|NVDA|XOM|JPM|ACN|WMT|ORCL|TMO|LLY|CRM|JNJ|ADBE|CVX|BAC|NKE|ABBV|ABT|COST|MRK|PEP
2023-02-20,30,0.0000,0.3846,0.3846,15.7920,0.0000,AAPL|MSFT|AMZN|UNH|GOOGL|TSLA|META|V|NVDA|PG|HD|MA|XOM|JPM|WMT|ACN|ORCL|CRM|LLY|JNJ|TMO|ADBE|BAC|ABBV|CVX|NKE|COST|PEP|MRK|DIS
2023-03-20,30,0.9229,0.3789,1.3018,17.0938,1.4843,AAPL|MSFT|AMZN|UNH|GOOGL|META|TSLA|NVDA|V|PG|MA|HD|XOM|CRM|WMT|JPM|ORCL|ACN|LLY|ADBE|TMO|JNJ|ABBV|PEP|NKE|COST|CVX|KO|MRK|BAC
2023-04-17,30,0.2344,0.3749,0.6093,17.7031,2.5309,AAPL|MSFT|AMZN|UNH|GOOGL|META|TSLA|NVDA|V|PG|MA|XOM|JPM|HD|CRM|WMT|ACN|ORCL|LLY|ADBE|TMO|JNJ|ABBV|CVX|PEP|NKE|MRK|KO|COST|BAC
2023-05-15,30,2.5577,0.3796,2.9373,20.6404,1.3029,AAPL|MSFT|AMZN|UNH|GOOGL|META|NVDA|V|TSLA|PG|MA|CRM|LLY|WMT|XOM|JPM|ORCL|HD|ACN|JNJ|PEP|ADBE|TMO|MRK|ABBV|KO|COST|CVX|ABT|NKE
2023-06-12,30,0.5849,0.3771,0.9620,21.6024,1.9418,AAPL|MSFT|AMZN|UNH|GOOGL|META|NVDA|TSLA|V|ORCL|PG|MA|ACN|CRM|LLY|HD|JPM|WMT|XOM|ADBE|JNJ|AVGO|TMO|PEP|COST|CVX|MRK|ABBV|KO|BAC
2023-07-10,30,0.5796,0.3774,0.9571,22.5595,1.8645,AAPL|MSFT|AMZN|UNH|META|GOOGL|NVDA|TSLA|V|PG|ORCL|MA|CRM|ACN|JPM|HD|LLY|ADBE|WMT|XOM|AVGO|JNJ|PEP|COST|TMO|MRK|CVX|ABT|KO|NOW
2023-08-07,30,0.2387,0.3771,0.6158,23.1753,1.9561,AAPL|MSFT|AMZN|UNH|GOOGL|META|NVDA|TSLA|V|PG|ORCL|JPM|MA|HD|ADBE|ACN|CRM|WMT|LLY|XOM|JNJ|AVGO|COST|TMO|PEP|ABBV|BAC|CVX|CMCSA|KO
2023-09-04,30,-0.1047,0.3842,0.2795,23.4548,0.1061,AAPL|MSFT|AMZN|GOOGL|UNH|NVDA|META|TSLA|V|LLY|PG|ORCL|MA|ADBE|HD|ACN|CRM|JPM|XOM|WMT|AVGO|JNJ|TMO|COST|CVX|ABBV|PEP|CMCSA|NOW|MRK
2023-10-02,30,-0.6474,0.3814,-0.2660,23.1887,0.8259,AAPL|MSFT|AMZN|UNH|GOOGL|META|NVDA|TSLA|V|LLY|PG|MA|XOM|ORCL|ADBE|ACN|WMT|JPM|HD|CRM|COST|AVGO|JNJ|CVX|ABBV|TMO|PEP|CMCSA|MRK|NOW
2023-10-30,30,2.0789,0.3812,2.4601,25.6488,0.8996,AAPL|MSFT|AMZN|UNH|GOOGL|META|NVDA|TSLA|V|LLY|PG|ADBE|WMT|MA|ORCL|ACN|JPM|XOM|CRM|HD|AVGO|COST|JNJ|ABBV|NOW|PEP|CVX|MRK|KO|CMCSA
2023-11-27,30,3.0349,0.3777,3.4125,29.0614,1.8010,AAPL|MSFT|AMZN|UNH|GOOGL|META|NVDA|TSLA|V|LLY|ADBE|PG|MA|ORCL|ACN|JPM|CRM|HD|WMT|XOM|AVGO|COST|NOW|JNJ|INTU|TMO|ABBV|NFLX|PEP|BAC
2023-12-25,30,0.0000,0.3846,0.3846,29.4460,0.0000,AAPL|MSFT|AMZN|UNH|GOOGL|META|NVDA|TSLA|V|CRM|LLY|ADBE|JPM|ACN|MA|HD|PG|ORCL|WMT|AVGO|XOM|COST|NOW|JNJ|INTU|ABBV|BAC|TMO|NFLX|ABT
2024-01-22,30,2.4508,0.3846,2.8354,32.2814,1.9750,MSFT|AAPL|AMZN|NVDA|META|GOOGL|UNH|TSLA|V|LLY|CRM|ACN|MA|JPM|ADBE|HD|PG|ORCL|AVGO|WMT|COST|XOM|NOW|ABBV|JNJ|TMO|INTU|MRK|BAC|ABT
2024-02-19,30,-0.1286,0.3915,0.2629,32.5443,0.1950,MSFT|AAPL|AMZN|NVDA|META|UNH|GOOGL|LLY|V|TSLA|CRM|MA|JPM|ACN|PG|HD|ORCL|ADBE|WMT|AVGO|XOM|COST|ABBV|NOW|NFLX|INTU|MRK|JNJ|TMO|BAC
2024-03-18,30,-0.8084,0.3861,-0.4223,32.1220,1.5950,MSFT|AAPL|AMZN|NVDA|META|GOOGL|UNH|LLY|V|CRM|JPM|TSLA|MA|ORCL|ACN|PG|HD|WMT|AVGO|XOM|ADBE|COST|ABBV|NFLX|NOW|BAC|TMO|JNJ|INTU|MRK
2024-04-15,30,-0.2460,0.3894,0.1434,32.2654,0.7356,MSFT|AAPL|AMZN|NVDA|META|GOOGL|UNH|LLY|V|CRM|JPM|MA|TSLA|PG|ORCL|WMT|HD|AVGO|XOM|ACN|ADBE|COST|NFLX|NOW|BAC|ABBV|MRK|TMO|INTU|JNJ
2024-05-13,30,0.5451,0.3850,0.9301,33.1955,1.8551,MSFT|AAPL|AMZN|NVDA|META|GOOGL|UNH|LLY|V|JPM|CRM|TSLA|PG|MA|WMT|AVGO|ORCL|HD|XOM|ACN|COST|ADBE|NFLX|BAC|NOW|TMO|MRK|ABBV|INTU|JNJ
2024-06-10,30,2.8787,0.3862,3.2650,36.4604,1.5498,MSFT|AAPL|AMZN|NVDA|META|GOOGL|UNH|LLY|V|JPM|TSLA|PG|WMT|MA|AVGO|ORCL|CRM|HD|COST|XOM|ACN|ADBE|NFLX|BAC|QCOM|ABBV|MRK|NOW|TMO|JNJ
2024-07-08,30,-1.7313,0.3842,-1.3471,35.1134,2.0729,MSFT|AAPL|AMZN|NVDA|META|GOOGL|UNH|LLY|TSLA|V|AVGO|JPM|ORCL|WMT|PG|MA|CRM|ADBE|COST|HD|XOM|ACN|NFLX|BAC|NOW|QCOM|ABBV|INTU|MRK|TMO
2024-08-05,30,0.1159,0.3882,0.5041,35.6174,1.0585,AAPL|MSFT|AMZN|NVDA|META|GOOGL|UNH|LLY|TSLA|V|JPM|PG|WMT|ORCL|MA|AVGO|HD|CRM|XOM|ACN|COST|ADBE|ABBV|NOW|NFLX|TMO|BAC|JNJ|KO|INTU
2024-09-02,30,0.2980,0.3914,0.6894,36.3068,0.2291,AAPL|MSFT|NVDA|AMZN|META|UNH|GOOGL|LLY|TSLA|V|JPM|WMT|AVGO|ORCL|MA|PG|HD|CRM|COST|ACN|ADBE|XOM|NFLX|ABBV|NOW|BAC|TMO|JNJ|KO|INTU
2024-09-30,30,-0.2177,0.3853,0.1677,36.4745,1.7747,AAPL|MSFT|AMZN|NVDA|META|GOOGL|UNH|TSLA|LLY|ORCL|V|WMT|JPM|AVGO|MA|HD|PG|CRM|ACN|COST|XOM|ADBE|NOW|NFLX|ABBV|BAC|TMO|JNJ|KO|INTU
2024-10-28,30,2.9343,0.3838,3.3181,39.7926,2.1710,AAPL|MSFT|NVDA|AMZN|META|GOOGL|UNH|TSLA|LLY|ORCL|V|JPM|WMT|AVGO|CRM|MA|HD|PG|ACN|COST|XOM|NOW|NFLX|ADBE|BAC|ABBV|BX|JNJ|TMO|KO
2024-11-25,30,0.4876,0.3853,0.8729,40.6655,1.7817,AAPL|MSFT|NVDA|AMZN|META|UNH|GOOGL|TSLA|ORCL|V|JPM|WMT|LLY|CRM|MA|HD|AVGO|PG|COST|ACN|XOM|NFLX|NOW|ADBE|BAC|BX|ABBV|JNJ|INTU|ABT
2024-12-23,30,-1.3191,0.3858,-0.9332,39.7323,1.6470,AAPL|MSFT|AMZN|NVDA|META|GOOGL|TSLA|UNH|AVGO|V|LLY|WMT|JPM|ORCL|CRM|MA|HD|PG|COST|ACN|NFLX|NOW|XOM|BAC|ADBE|ABBV|BX|INTU|JNJ|GOOG
2025-01-20,30,0.1215,0.3305,0.4521,40.1844,0.0709,AAPL|MSFT|AMZN|NVDA|META|GOOGL|TSLA|UNH|AVGO|JPM|V|WMT|LLY|ORCL|CRM|MA|HD|PG|COST|ACN|NOW|NFLX|XOM|BAC|ADBE|BX|ABBV|TMO|JNJ|GOOG
